IIB,28.02.22,55
IIB,01.03.22,55.9
IIB,02.03.22,57.9
IIB,03.03.22,33.8
IIB,04.03.22,44.6
IIB,05.03.22,59.4
IIB,06.03.22,37.2
IIB,07.03.22,32.4
IIB,08.03.22,38.7
IIB,09.03.22,32
IIB,10.03.22,25
IIB,11.03.22,26.8
IIB,12.03.22,28.8
IIB,13.03.22,55.8
IIB,14.03.22,59.9
IIB,15.03.22,58.1
IIB,16.03.22,70
IIB,17.03.22,47.8
IIB,18.03.22,41
IIB,19.03.22,52
IIB,20.03.22,64.6
IIB,21.03.22,72
IIB,22.03.22,55.9
IIB,23.03.22,50.2
IIB,24.03.22,38.8
IIB,25.03.22,44.8
IIB,26.03.22,35.1
IIB,27.03.22,34.3
IIB,28.03.22,41.5
IIB,29.03.22,38.5
